City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
242,Sinazongwe,ZM,-17.2614,27.4618,60.3,51,22,4.05,few clouds
243,Anajatuba,BR,-3.2644,-44.6197,73.18,98,82,3.58,broken clouds
244,Ishigaki,JP,24.3448,124.1572,87.93,79,75,12.66,broken clouds
245,Owando,CG,-0.4819,15.8999,72.23,65,23,3.78,few clouds
246,Cabedelo,BR,-6.9811,-34.8339,72.27,87,98,10.69,overcast clouds
247,Konyshevka,RU,51.8418,35.2941,70.29,71,4,4.07,clear sky
248,Santa Cruz De La Palma,ES,28.6835,-17.7642,71.74,73,0,16.11,clear sky
249,Aqtobe,KZ,50.2797,57.2072,75.29,41,0,13.42,clear sky
250,Midland,US,31.9974,-102.0779,86.68,52,1,6.91,clear sky
251,Dwarahat,IN,29.7833,79.4333,75.33,78,51,2.93,broken clouds
252,Axim,GH,4.8699,-2.2405,75.0,88,74,5.35,light rain
253,Havoysund,NO,70.9963,24.6622,47.28,95,100,4.41,light rain
254,Oriximina,BR,-1.7656,-55.8661,72.21,93,94,3.4,overcast clouds
255,Richards Bay,ZA,-28.783,32.0377,56.62,91,0,5.64,clear sky
256,Tatarsk,RU,55.219,75.9828,63.19,53,100,14.52,overcast clouds
257,Ola,RU,59.5833,151.2833,57.58,56,47,10.56,scattered clouds
258,Batagay-Alyta,RU,67.8006,130.4114,79.97,21,32,3.87,scattered clouds
259,Tura,IN,25.5198,90.2201,75.63,97,100,5.12,overcast clouds
260,Angoche,MZ,-16.2325,39.9086,72.9,85,66,12.15,light rain
261,Sur,OM,22.5667,59.5289,90.7,55,85,11.95,overcast clouds
262,Dubuque,US,42.4833,-90.8668,66.02,77,90,0.0,light rain
263,Warrington,GB,53.3925,-2.5802,59.86,94,90,1.99,overcast clouds
264,Elbrus,RU,43.2577,42.6443,60.3,79,26,2.48,scattered clouds
265,Alofi,NU,-19.0595,-169.9187,80.49,78,42,13.8,scattered clouds
266,Bacungan,PH,9.9106,118.7022,88.27,65,100,7.52,overcast clouds
267,Piste,MX,20.7,-88.5833,79.29,78,92,3.6,overcast clouds
268,Flin Flon,CA,54.7682,-101.865,61.36,51,60,5.88,broken clouds
269,Bengkulu,ID,-3.8004,102.2655,84.97,65,1,8.01,clear sky
270,Hirosaki,JP,40.5931,140.4725,88.21,54,37,6.85,scattered clouds
271,Altay,CN,47.8667,88.1167,71.56,39,29,8.16,scattered clouds
